id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,value_score
697923,Cute & Cozy NYC Room - Hell's Kitchen (dog in apt),3576466,Kevin,Manhattan,Hell's Kitchen,Private room,75,2,176,2.22,23,7.556266666666667
698132,"LARGE PRIVATE FLOOR IN BROOKLYN, NY",3577509,Eric,Brooklyn,Bedford-Stuyvesant,Entire home/apt,85,4,239,2.89,1,10.937764705882353
698162,"Comfy apartment, adorable cat!",3577848,Abby,Manhattan,Inwood,Entire home/apt,55,2,79,0.96,3,2.815272727272727
698298,GREAT private apt on MULBERRY st - Nolita / Soho,1746432,Joseph,Manhattan,Nolita,Private room,95,10,13,0.33,51,0.182
698327,Clean Cute Private Room in CHELSEA,3579337,Nina,Manhattan,Chelsea,Private room,72,14,11,0.16,297,0.17722222222222223
699348,Peaceful double room in Brooklyn Brownstone,279845,Chantille & Linda,Brooklyn,Prospect Heights,Private room,78,4,190,2.3,188,8.038461538461538
699472,NYC 1st Shipping Container Home,3587751,Janet-David,Brooklyn,Williamsburg,Entire home/apt,220,1,404,4.9,341,10.834545454545456
700530,Charming South Village w/ Private Terrace,2495668,Christos,Manhattan,SoHo,Entire home/apt,230,2,27,1.4,101,0.2817391304347826
700916,Airy Bed Sty Restoration,3595395,Gabriela,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,4,79,0.97,246,1.0375333333333332
701227,Cozy Private room in Fort Greene,3598306,Afaliah,Brooklyn,Fort Greene,Private room,80,2,14,0.17,364,0.20475
702213,W'burg Hidden Treasure Off Lorimer,240471,Roberto,Brooklyn,Williamsburg,Private room,150,3,32,0.42,365,0.30293333333333333
702440,Park Slope Brownstone with Garden,3605606,Gisela,Brooklyn,Park Slope,Entire home/apt,150,3,76,0.98,266,1.0031999999999999
703971,HOME AWAY FROM HOME,1785800,Marvet,Brooklyn,Prospect-Lefferts Gardens,Private room,70,5,18,0.22,365,0.3137142857142857
704838,An Oasis in  the Big Apple 1,3621183,Paul,Queens,Woodside,Entire home/apt,120,3,60,1.59,281,1.2949999999999997
707396,2BR PENTHOUSE w Private Roofdeck,3636235,Ari,Manhattan,East Village,Entire home/apt,399,7,104,1.28,42,0.5942857142857144
708374,private bedroom w/private bathroom on Central Park,315918,Arlette,Manhattan,Upper West Side,Private room,100,3,326,3.96,90,16.1696
710243,"Cozy, ideal live-work space in the heart of LES!",1444304,Alejandra,Manhattan,Lower East Side,Entire home/apt,175,5,56,0.79,263,0.5728000000000001
710283,"Sunny, Large & Lovely in Greenpoint",283215,Isabelle,Brooklyn,Greenpoint,Entire home/apt,330,3,51,0.62,19,0.2503636363636364
711635,Charming East Village Apartment,3662459,Barry,Manhattan,East Village,Entire home/apt,240,5,86,1.15,344,0.7704166666666666
712260,Private Two Bedroom with Garden in Cobble Hill,3666608,Paul And Debra,Brooklyn,Carroll Gardens,Private room,210,2,75,0.92,309,0.6857142857142857
713538,Chic Victorian private apartment in townhouse,3672774,Alison,Brooklyn,Clinton Hill,Entire home/apt,175,1,363,4.55,323,11.512285714285714
713891,Amazing location! 10ft from L train,3675389,Giorgia & Benjamin,Brooklyn,Williamsburg,Private room,85,2,146,1.78,46,4.775058823529412
714028,An Oasis in the Big Apple 2,3621183,Paul,Queens,Woodside,Entire home/apt,120,3,51,1.52,253,1.0710000000000002
714049,An Oasis in the Big Apple 3,3621183,Paul,Queens,Woodside,Entire home/apt,120,3,55,0.67,289,0.7654166666666666
714939,West Village 2 Bedroom Apt,3578480,Radan,Manhattan,West Village,Entire home/apt,495,3,29,0.38,22,0.08084848484848484
715102,WILLIAMSBURG 1 private room in loft,1002452,Florencia,Brooklyn,Williamsburg,Private room,65,14,30,0.76,38,0.8123076923076923
715270,2 Beds/Queen & Full Beautiful Room 40 minsT.Square,3684360,Enrique,Bronx,Allerton,Private room,39,2,169,2.07,306,13.303333333333331
719329,Bright 1 BR in Brooklyn,3711499,Silvia,Brooklyn,Crown Heights,Entire home/apt,120,3,12,0.18,15,0.11800000000000001
719914,Charming Harlem Getaway-Women Only,3715319,Crystal,Manhattan,Harlem,Private room,79,3,19,0.3,365,0.31265822784810127
721719,Heart of Harlem 1 BR Garden apt,3726131,John,Manhattan,Harlem,Entire home/apt,150,5,17,0.26,36,0.1428
721762,Colorful New York East Village Apt,3726366,Dk,Manhattan,East Village,Entire home/apt,144,4,70,0.86,198,0.9041666666666666
723507,Space! Light! Charm! 1BR close to subways & park,3737582,Ellen,Manhattan,Upper West Side,Entire home/apt,195,3,17,0.43,26,0.12466666666666666
723560,Modern and Cozy Home - LES,3738130,Andrea,Manhattan,Lower East Side,Entire home/apt,169,5,62,0.75,249,0.6420118343195266
725270,Very Large Loft in Chelsea for  Your Stay!!,3750402,Alexander,Manhattan,Flatiron District,Entire home/apt,375,2,33,0.84,346,0.16192
725509,3 BR Apartment in Heart of Brooklyn,3752523,Ari,Brooklyn,Crown Heights,Entire home/apt,168,2,158,1.93,253,2.7555952380952378
726465,"❤️ of Williamsburg, Private Entrance",1869332,Elli,Brooklyn,Williamsburg,Private room,129,2,129,1.67,36,2.67
727512,Duplex Loft Suite w/ Patio @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,Entire home/apt,199,3,50,0.67,47,0.41959798994974873
727547,Duplex w/ Patio @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,Entire home/apt,199,3,116,1.56,36,1.4922613065326633
727835,Pristine Room and Art Experience,3772684,Glasshouse,Brooklyn,Williamsburg,Private room,99,6,89,1.09,89,1.8788888888888888
728498,WEST HARLEM  PRIVATE BEDROOM,3779334,Lex And Derek,Manhattan,Harlem,Private room,80,1,135,1.67,365,4.505625
729306,"Clean & Quiet BR in Sunset Park, BK",3787686,"Porfirio ""Firo"" & Maria",Brooklyn,Borough Park,Private room,70,1,139,1.7,364,5.361428571428571
730480,Private Bedroom in Sunny Brooklyn Apartment,3798686,Jonathan,Brooklyn,Sunset Park,Private room,66,3,51,0.64,329,1.2672727272727273
731293,**YOUR HOME AWAY FROM HOME** : UES/66th LG 1 BDRM,3805320,R And R,Manhattan,Upper East Side,Entire home/apt,200,3,203,2.53,260,3.5829499999999994
731300,Private Room Williamsburg(Ariel) 4p,3398752,Alessandra,Brooklyn,Williamsburg,Private room,95,2,164,2.07,93,5.29978947368421
732624,1 Pvt. Room in Upper West Manhattan,3813161,Cleveland,Manhattan,Harlem,Private room,65,1,327,4.01,287,25.204153846153847
735677,CHIC Apt in TRENDY East Village,3771963,Megan,Manhattan,East Village,Entire home/apt,249,2,111,4.44,28,2.4250602409638558
736187,Private Room in lovely Greenpoint,3842134,Dawn,Brooklyn,Greenpoint,Private room,52,5,35,0.44,1,0.9692307692307692
737126,Williamsburg Loft!! Bedford L 1blk!,3847832,Eric,Brooklyn,Williamsburg,Shared room,195,2,80,0.98,364,0.8123076923076923
739815,Cozy Private Room in LIC,1486623,Sol,Queens,Long Island City,Private room,55,7,39,0.48,46,1.0494545454545454
740823,Beautiful private Apt-15m Manhattan (3rd Room),570882,Eldad & Paulina,Brooklyn,Bushwick,Private room,50,2,27,0.35,2,0.7290000000000001
741797,Luxury Tribeca 1bdr in Doorman Bldg,3131199,Oly,Manhattan,Tribeca,Entire home/apt,259,2,20,0.25,17,0.09652509652509653
742026,NOLITA&SOHO BEST LOCATION&GREAT APT,132132,Rachel,Manhattan,Nolita,Entire home/apt,199,7,66,0.83,142,0.6069346733668342
742795,Spacious Heart of Ft. Greene Studio,3889383,Elizabeth,Brooklyn,Fort Greene,Entire home/apt,100,1,273,3.35,45,11.875499999999999
744078,Tiffany Room in Duplex Home,2219255,Natalie,Brooklyn,Canarsie,Private room,39,5,60,0.95,34,3.0
745037,Luxury Locale Sunny 1BR Suite,3906249,Page,Manhattan,Midtown,Entire home/apt,170,7,83,1.04,203,0.996
746088,Little Italy gem Center of it all!,1483464,Robert,Manhattan,Little Italy,Entire home/apt,199,3,219,2.68,212,4.049849246231156
746996,Park Slope-Private Room/Bath/Entry,3920265,Kedin,Brooklyn,Park Slope,Private room,125,3,270,3.34,300,9.3744
747029,Private rooms in heart of Chelsea,3920522,Erik,Manhattan,Chelsea,Private room,155,5,18,0.24,90,0.144
747159,sunny private room in east village,3801683,Jackson,Manhattan,Gramercy,Private room,120,4,132,1.62,267,2.882
747344,"Stunning views! 3 separate bedrooms, L train Loft",3011406,Ellie,Brooklyn,Williamsburg,Entire home/apt,220,3,151,1.86,115,1.9630000000000003
747538,"HUGE mid-century modern, sunny flat w/ amazing cat",2293050,Nick,Brooklyn,Crown Heights,Private room,61,2,167,4.16,320,14.126557377049181
747605,"East Village Studio, Great Location",3665794,Jack,Manhattan,East Village,Entire home/apt,179,4,213,2.62,277,4.307597765363129
749455,Lovely Loft space near Central Park & Times Square,3929012,Kevin,Manhattan,Upper West Side,Private room,99,1,353,4.33,73,19.004949494949496
752289,Cozy Village apartment  near NYU,2285974,Cristiana,Manhattan,Greenwich Village,Entire home/apt,200,4,11,0.14,259,0.0627
752616,Sunny 2BR Penthouse - HUGE Terrace,3916070,Boris,Manhattan,Chinatown,Entire home/apt,400,3,46,0.57,175,0.18055
753399,SoHo Loft - The One,3963008,Philip,Manhattan,SoHo,Entire home/apt,500,10,10,0.22,33,0.024399999999999998
753622,1 Private Bedroom / East Village,869880,Karen,Manhattan,East Village,Private room,95,5,64,0.88,316,1.2665263157894737
753687,Mitchell Manor,3964655,Nicole,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,104,1.36,275,1.9635200000000002
753983,Super Cute Upper West Side Apt!!,3966721,Shaina,Manhattan,Upper West Side,Private room,80,4,75,0.93,15,1.809375
753991,Elegant Stuyvesant Heights Retreat,1884204,Mark,Brooklyn,Bedford-Stuyvesant,Entire home/apt,105,5,227,2.79,234,8.193619047619048
755528,PRIVATE BATH/TONS OF SUNLIGHT/SAFE,3684360,Enrique,Bronx,Allerton,Entire home/apt,49,2,189,2.32,238,12.805714285714286
756928,Your OWN Private Garden Apartment,1358245,Tania,Brooklyn,Clinton Hill,Entire home/apt,100,2,27,0.33,159,0.35910000000000003
757187,Brooklyn Charm in Clinton Hill,209647,Jorge,Brooklyn,Clinton Hill,Private room,50,4,32,0.4,347,0.8959999999999999
758782,Perfect Midtown Apt E. 50th St,286313,Kiovanna,Manhattan,Midtown,Entire home/apt,133,6,22,0.33,5,0.22
760303,UES Manhattan Quiet Nest 1 Bdrm,4007393,Jenni,Manhattan,Upper East Side,Entire home/apt,155,5,63,0.78,235,0.7234838709677419
761606,"Great location, cozy and quiet.",1292205,Pasha,Queens,Astoria,Entire home/apt,140,5,15,0.19,260,0.12749999999999997
761835,Apto 2 bed $80 night per person,4015459,Joao Lucas,Queens,Astoria,Private room,80,2,72,0.89,364,1.701
762015,"Private Oasis, en suite bathroom",3992566,Clay,Brooklyn,Bushwick,Private room,103,2,58,0.94,69,1.0924271844660194
763527,Artist's Jungle Suite + Private Bathroom,3604585,Jenny,Brooklyn,Flatbush,Private room,70,3,169,3.07,188,9.826142857142857
763809,Mermaid Oasis in the Heart of Brooklyn,3604585,Jenny,Brooklyn,Flatbush,Private room,55,3,66,1.16,264,2.592
763965,East Harlem Studio,4027283,Mariko,Manhattan,East Harlem,Entire home/apt,50,4,24,0.3,25,0.6240000000000001
764753,Beautiful 3 bedroom apartment!!,3371859,Jenny & Jose,Brooklyn,Crown Heights,Entire home/apt,82,8,108,1.33,238,3.068780487804878
765203,Art Lover's Abode Brooklyn,2276842,Debbie,Brooklyn,Williamsburg,Shared room,52,3,19,0.44,88,0.5261538461538462
765315,Bed & Bathroom in Williamsburg Loft,4034995,Susan,Brooklyn,Williamsburg,Private room,115,2,91,1.18,258,1.7250434782608692
765563,Big Comfy Beds & Breakfast on the Deck,4036685,Norman,Queens,Bayside,Entire home/apt,299,2,67,0.95,322,0.43695652173913047
765569,"Brand New, Boutique Brooklyn Condo",4036700,Anna,Brooklyn,Downtown Brooklyn,Entire home/apt,175,13,64,0.8,116,0.6582857142857143
767562,Beautiful communal house Bushwick,1949282,Kyla,Brooklyn,Bushwick,Private room,45,2,77,0.95,167,3.336666666666667
767761,Beautiful 1 br in Williamsburg,4049527,Nathaniel,Brooklyn,Williamsburg,Entire home/apt,165,1,41,0.52,19,0.3776969696969697
769448,"Bedford Loft, Williamsburg Prime",4059034,Ian,Brooklyn,Williamsburg,Entire home/apt,312,2,302,4.18,246,5.013974358974359
772362,TIMES SQ/THEATRE DIST STUDIO,2631234,Frank,Manhattan,Hell's Kitchen,Entire home/apt,165,3,276,3.44,146,7.42690909090909
772679,"Very large, clean 1 BR apartment",4076876,Tauheed,Manhattan,East Harlem,Entire home/apt,120,3,22,0.31,365,0.24016666666666667
773041,Nice beautiful room In the Bronx,3684360,Enrique,Bronx,Allerton,Private room,38,1,187,2.34,241,16.43631578947368
773993,Upper East Side Oasis!,4083654,Santina,Manhattan,Upper East Side,Private room,85,2,138,2.06,196,4.968
774791,Very clean bed room in queens NYC,1528912,Weiwei,Queens,Flushing,Private room,55,2,31,0.53,282,0.8623636363636363
775238,Fantastic East Village Location!,3659439,Michelle,Manhattan,East Village,Private room,59,4,12,0.16,12,0.23593220338983048
775280,New-York Family Friendly 2bdr/2bath,4089511,Marie,Manhattan,Harlem,Entire home/apt,280,4,97,1.25,48,0.7794642857142857
775326,Cozy Room in Artistic Brownstone,1568517,Karl & Catherine,Queens,Long Island City,Private room,69,1,153,1.89,132,6.408260869565217
776257,Large One Bedroom in heart of North Williamsburg,4094151,Sean,Brooklyn,Williamsburg,Entire home/apt,230,5,72,0.91,325,0.5979130434782609
777297,XL 2 Bedroom LOFT in the Heart of Williamsburg,3419446,Jennifer,Brooklyn,Williamsburg,Entire home/apt,200,2,72,0.95,52,0.7020000000000001
777327,Cozy Quiet Sunny 1br Ditmas Park Close to Train,4086839,Nataliya,Brooklyn,Flatbush,Entire home/apt,150,5,52,0.65,311,0.572
778381,Gorgeous Brooklyn Getaway,3043126,Aziza,Brooklyn,Bedford-Stuyvesant,Private room,75,1,28,0.36,365,0.5077333333333333
781486,Spacious room in historic house,2723812,Libertad,Bronx,Port Morris,Private room,60,3,86,1.13,1,3.0529999999999995
782554,Great West Village 1 bdr apartment!,1830890,Adela,Manhattan,West Village,Entire home/apt,189,2,68,0.92,63,0.6907936507936508
783341,Private Bedroom LOWER EAST SIDE,4111640,Jennifer,Manhattan,Lower East Side,Private room,69,7,48,0.61,235,1.12
783964,GREAT ROOM Fast 2 TIMES SQ 9min NYC,2347382,Massi & Ray,Queens,Long Island City,Private room,70,1,148,1.9,303,6.131428571428572
784124,"New Flat, Great Light,  Unique Brooklyn Bungalow",3483450,Aswad,Brooklyn,Bedford-Stuyvesant,Entire home/apt,149,2,67,0.88,329,0.8453691275167785
784169,"Sunny, Gorgeous West Village Home",4135221,Nathalie,Manhattan,West Village,Private room,160,1,148,1.83,295,2.61775
785508,Experience New York - A Locals Way,873273,Christian & Carla,Manhattan,Washington Heights,Private room,85,2,211,2.63,339,9.010941176470588
786053,"Sunny Rm #2, Air Conditioner, Park,Express Q train",2478675,Gina,Brooklyn,Prospect-Lefferts Gardens,Private room,45,1,168,2.3,359,12.32
786685,Big Brnstn Grdn Apt 2 stops to Midtown,4147380,Lauren,Manhattan,Harlem,Entire home/apt,225,1,50,0.72,265,0.38222222222222224
786843,PRIVATE ROOFTOP +BEST LOCATION+COZY,3117671,Mariana,Brooklyn,Williamsburg,Entire home/apt,145,3,121,1.51,45,2.094551724137931
786955,West Village - Gorgeous Studio Apt.,4148114,Dawn,Manhattan,West Village,Entire home/apt,210,1,108,1.35,305,1.2085714285714286
788005,"Spacious 1 Bedroom Apt, Prospect Hts/Park Slope",4153591,Rita,Brooklyn,Prospect Heights,Entire home/apt,195,4,10,0.13,95,0.05794871794871794
788106,Cozy West Village Apartment,3106826,Carl,Manhattan,West Village,Entire home/apt,140,2,34,0.43,159,0.34728571428571425
791452,Jazzy condo in Riverdale -fresh grown veggies,2556784,Claudia,Bronx,Fieldston,Entire home/apt,60,1,25,0.67,311,0.6958333333333333
792835,Spacious Lower East Side Studio,180416,Martin,Manhattan,Lower East Side,Entire home/apt,159,2,260,3.58,141,7.489308176100629
794567,Brooklyn Oasis - Master Bedroom.,4103779,Rachel,Brooklyn,Prospect-Lefferts Gardens,Private room,82,3,62,0.8,247,1.3609756097560977
796523,Rustic Modern Duplex Brownstone,4195861,Doris,Brooklyn,Crown Heights,Entire home/apt,150,4,13,0.3,15,0.11266666666666668
797972,Spacious 1 Bdrm in BEST location!!,3882661,Ms,Manhattan,Gramercy,Entire home/apt,130,3,26,0.32,19,0.264
798429,Modern 1-bedroom in Harlem Heights,4204890,Martin,Manhattan,Harlem,Entire home/apt,115,3,186,2.32,237,5.369739130434782
799319,Peaceful Garden Sanctuary best part of Brooklyn!,838848,Sarah,Brooklyn,Fort Greene,Entire home/apt,128,5,154,1.93,301,3.5251562499999998
799945,"Very Small Room, Old Historic Brooklyn Townhouse",149929,Obed,Brooklyn,Fort Greene,Private room,40,8,32,0.4,284,1.1199999999999999
801626,CBG HelpsHaiti #5 Suite,22486,Lisel,Brooklyn,Park Slope,Private room,115,2,25,0.36,89,0.2956521739130435
802498,Manhattan *SuperHost* Luxury Master Bedrm PRIVATE,512878,Michelle,Manhattan,Harlem,Private room,85,1,190,3.7,178,10.505882352941176
804246,"HUGE, PRIVATE, SUNLIT ROOM IN DOWNTOWN NYC LOFT!",4233030,Michael,Manhattan,Chinatown,Private room,195,3,61,0.77,134,0.5536923076923077
804815,Washington Heights homestay,4112902,Tiffany,Manhattan,Washington Heights,Private room,36,1,33,0.77,211,1.6225
805218,Private Room in Converted Loft,4238591,Leah & Reed,Brooklyn,Greenpoint,Private room,85,2,36,0.45,278,0.6141176470588234
806038,Home Sweet Room-SAPPHIRE-Queens NYC,4113132,Jacqueline & Tyas,Queens,Elmhurst,Private room,45,3,89,1.12,213,4.192888888888889
806040,Home Sweet Room-EMERALD-Queens NYC!,4113132,Jacqueline & Tyas,Queens,Elmhurst,Private room,45,3,125,1.57,208,7.13888888888889
808618,Spacious & Sunny in Scenic Kw Gdns,4254417,Renee,Queens,Kew Gardens,Private room,60,3,12,0.31,351,0.262
808851,Comfortable Room in UES - NYC ,1289936,Jhon,Manhattan,East Harlem,Private room,95,4,150,1.88,192,4.5473684210526315
812467,"Vintage Chic Haven in Kensington, Brooklyn",574584,Jesse,Brooklyn,Kensington,Private room,49,1,61,0.95,100,2.4275510204081634
812671,CSS (Central/Sunny/Spacious) 1 BR in Park Slope,4271822,Angelina,Brooklyn,Park Slope,Entire home/apt,190,3,76,0.95,48,0.7799999999999999
812938,Shabby Chic Modern Chelsea Studio,4272748,Jason,Manhattan,Chelsea,Entire home/apt,99,2,52,0.65,30,0.8666666666666666
813225,"Quirky, Exposed-Brick Cozy Room Brooklyn Townhouse",149929,Obed,Brooklyn,Fort Greene,Private room,68,8,37,0.5,280,0.8161764705882353
813793,"Large, Private 2-BR Flat in the Lower East Side!",4276374,Peter,Manhattan,Lower East Side,Entire home/apt,225,4,92,1.47,67,1.0099555555555555
814327,room in uper east side manhattan,4279005,Jefry,Manhattan,Upper East Side,Private room,81,10,64,0.93,311,1.5249382716049384
815045,Stylish West VILLAGE Water Views,4281957,Marina,Manhattan,West Village,Entire home/apt,340,7,38,0.54,302,0.17211764705882354
815465,Central Park North Guest House,4284154,Jennifer,Manhattan,Harlem,Entire home/apt,135,3,205,3.19,184,6.362592592592592
817113,large spaciousbrownstone house,1141935,Ana,Brooklyn,Crown Heights,Private room,109,1,73,0.92,284,1.2858715596330275
818084,Gorgeous sunny prime SoHo 1BR Apt.,128256,Annie,Manhattan,Greenwich Village,Entire home/apt,290,2,70,0.92,339,0.463448275862069
818325,Pied-à-Terre in Midtown Manhattan,4298167,Shane,Manhattan,Kips Bay,Entire home/apt,148,5,29,0.37,188,0.26844594594594595
818337,Newly Reno Room with Private Bath^,4241953,Celeste,Queens,Flushing,Private room,57,2,17,0.21,308,0.36087719298245613
818481,MANHATTAN BEAUTIFUL PIANO ROOM,4299040,Ale,Manhattan,Harlem,Private room,60,2,67,0.88,117,2.099333333333333
818518,MANHATTAN BEAUTIFUL FIRESCAPE ROOM,4299040,Ale,Manhattan,Harlem,Private room,60,2,48,0.61,114,1.288
819206,Cute shared studio apartment,4306950,Christopher,Manhattan,East Harlem,Shared room,45,2,107,1.5,313,5.944444444444445
819228,MANHATTAN CONVENIENT 2 CLOSET ROOM,4299040,Ale,Manhattan,Harlem,Private room,60,2,33,0.46,211,0.803
819419,"Entire Private, Spacious 1-BR in Ft. Greene",4303726,Tanjila,Brooklyn,Clinton Hill,Entire home/apt,125,3,124,1.56,158,2.53952
819893,MANHATTAN CONVENIENT NICE ROOM IN NYC,4299040,Ale,Manhattan,Harlem,Private room,60,2,36,0.54,133,0.9239999999999999
819956,"Home away from home,clean and cozy.",9269794,Jerbean,Brooklyn,Bedford-Stuyvesant,Private room,75,2,38,0.51,365,0.7650666666666667
820710,1 large bedroom w/private bath,4310378,Autumn,Brooklyn,Clinton Hill,Private room,89,2,89,1.12,318,2.12
820953,Entire Apt Yours! (5 Night Minimum),4105474,Amanda,Brooklyn,Greenpoint,Entire home/apt,99,7,10,0.13,81,0.11414141414141413
822016,1BR w/private bath in modern Prospect Heights apt,61873,Seema,Brooklyn,Crown Heights,Private room,90,2,24,0.3,30,0.3466666666666667
823520,ON HIGHLINE! Private room & bath,4323625,Arthur,Manhattan,Chelsea,Private room,179,2,251,3.15,157,5.81927374301676
823618,"Large,sunny private room in Harlem",4324286,Ettice,Manhattan,Harlem,Private room,80,4,41,0.52,119,0.779
823631,"Bright, cozy private room in Harlem",4324286,Ettice,Manhattan,Harlem,Private room,65,5,29,0.4,186,0.6246153846153846
823880,"Clean Private Bedroom on Lower East Side,Manhattan",69685,Anja,Manhattan,Lower East Side,Private room,69,1,322,4.46,84,25.479999999999997
824163,Sunny Convienent Bushwick Room,4317067,Kamollio,Brooklyn,Bushwick,Private room,42,1,18,0.35,60,0.5785714285714286
825193,Park Slope Apartment ,4330726,Jon,Brooklyn,Park Slope,Entire home/apt,155,5,22,0.28,189,0.18167741935483872
825486,1 BEDROOM APARTMENT IN UPPER EAST,4331441,Francesco,Manhattan,Upper East Side,Entire home/apt,135,1,225,2.83,19,6.383333333333334
826307,"Near Manhatten, NEW Empire Outlets, park!",4192794,Anna,Staten Island,Tompkinsville,Private room,47,1,20,0.26,323,0.5361702127659574
826388,"Spacious & Comfy, Top of Central Pk",359447,Adrian,Manhattan,Harlem,Private room,69,4,18,0.23,280,0.3208695652173913
826603,No Longer Available Brooklyn Brownstone,4079140,Kat,Brooklyn,Crown Heights,Private room,100,2,37,0.52,2,0.5624
826685,Dreamy Private Room in  Super Cool Bedstuy Apt.,94669,Keithan,Brooklyn,Bedford-Stuyvesant,Private room,51,3,36,3.04,32,2.8517647058823528
827719,Experience Brooklyn like a True Brooklynite,611137,Shahar,Brooklyn,Clinton Hill,Private room,60,3,126,3.59,120,9.639000000000001
828130,Brooklyn Apt next to Prospect Park,4210082,Monica,Brooklyn,Prospect-Lefferts Gardens,Private room,70,1,84,1.06,188,2.472
828553,Location AND Space in the city!!,3882661,Ms,Manhattan,Gramercy,Entire home/apt,130,3,26,0.41,23,0.282
828685,Cute Room in Artist/Designers' Flat,1865527,Kayla,Brooklyn,Bedford-Stuyvesant,Private room,70,1,37,0.48,325,0.7822857142857143
828796,Large 2BR Apt in Brownstone,4344588,Gabe And Jane,Brooklyn,Clinton Hill,Entire home/apt,200,2,267,3.37,266,5.83395
829935,Charming Backyard Apt in Townhouse,4348003,Bob,Manhattan,Washington Heights,Entire home/apt,130,5,47,0.59,9,0.5748461538461538
830949,DESIGNER LOFT W PRIVATE ROOFTOP & PANORAMIC VIEWS,4352069,Rebecca,Manhattan,East Village,Private room,79,1,137,1.98,298,5.167848101265823
834088,Charming Private room in Greenpoint,4363775,O.,Brooklyn,Greenpoint,Private room,55,11,11,0.23,11,0.246
834190,Manhattan Lux Loft.Like.Love.Lots.Look !,2369681,Carol,Manhattan,Lower East Side,Private room,99,2,540,6.95,179,43.36363636363637
836578,Airy+Sunny 1bdrm- Steps to HighLine,1268505,Jh,Manhattan,Chelsea,Entire home/apt,240,7,26,0.37,330,0.1484166666666667
836720,Brand New Bay House ,4372934,Manuel Alberto,Queens,College Point,Entire home/apt,400,2,47,0.61,361,0.18917499999999998
837503,❤️Feel@HOME Brooklyn Clinton Hill ❤️,265525,Casey,Brooklyn,Bedford-Stuyvesant,Entire home/apt,96,5,224,2.82,77,8.913333333333332
837958,Very cozy room with a tv.!,4378763,Antonio,Queens,Long Island City,Private room,63,2,26,0.33,249,0.5488888888888889
840667,Amazing Greenwich Village w pool,4390058,Jeffrey,Manhattan,Greenwich Village,Entire home/apt,349,3,17,0.21,356,0.058939828080229226
840731,Historic East Village Townhouse,4390639,Joanna,Manhattan,East Village,Entire home/apt,495,2,66,0.93,334,0.25733333333333336
840794,Big one bedroom located in Brooklyn,4390881,Todd,Brooklyn,Prospect Heights,Entire home/apt,85,14,13,0.17,22,0.17894117647058821
841292,BIG room in fun loft – heart of NYC,4393626,Aaron,Manhattan,Chelsea,Private room,109,3,26,0.36,18,0.32440366972477064
841484,cozy charming apt - Lower East Side,2682735,Andrew,Manhattan,Lower East Side,Entire home/apt,175,3,50,0.63,1,0.4657142857142857
842167,1 BDR in Heart of Lower East side,2257960,Melanie,Manhattan,Chinatown,Entire home/apt,150,4,14,0.31,18,0.12226666666666666
842176,Cozy Room in Williamsburg Loft Apt,3330412,Pierre  & Amira,Brooklyn,Williamsburg,Private room,80,4,80,1.08,245,2.08
844319,"XL 90m2 2BR Victorian area,sleeps 7",683027,Camille,Brooklyn,Flatbush,Entire home/apt,130,1,219,2.91,237,6.586846153846154
846190,Modern condo close to Prospect park,3159197,Lewis,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,140,2,11,0.18,35,0.09271428571428571
846275,"BEST LOWER EAST SIDE APT, SLEEPS 4 COMFORTABLY.",1732005,Ren,Manhattan,Lower East Side,Entire home/apt,145,2,220,2.97,268,6.023448275862069
846871,"Cozy 1 BR near Central Park, AMNH, The MET & More",3179895,Dee,Manhattan,Upper West Side,Private room,131,2,220,2.85,1,6.465648854961832
848087,Great light-filled 1BR in Brooklyn,3526444,Luca,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,5,15,0.25,94,0.1875
848220,LUXURY APT w PRIVATE GARDEN NYC UES,4425694,Gregory,Manhattan,Upper East Side,Entire home/apt,160,1,187,2.36,221,3.9269999999999996
848707,"Bright Room in Queens, Shared bath%",4241953,Celeste,Queens,Flushing,Private room,60,2,17,0.22,314,0.3456666666666666
848718,Spacious & Comfy by Prospect Park,4375988,Keturah,Brooklyn,Prospect-Lefferts Gardens,Private room,75,3,46,0.82,311,1.1162666666666667
848722,Lovely BR In The ❤ Of Flushing! Free Metro Card,4241953,Celeste,Queens,Flushing,Private room,45,2,39,0.52,292,1.3173333333333335
848853,Upper Manhattan//Harlem Classic,4432173,Stella,Manhattan,Harlem,Private room,65,2,15,0.2,361,0.27692307692307694
849603,Spacious Crown Heights Apartment,4435623,Ayana,Brooklyn,Crown Heights,Entire home/apt,100,7,52,0.67,56,0.8684000000000001
850097,Beautiful 1BD in the West Village,4438960,Taleah,Manhattan,West Village,Entire home/apt,235,2,97,1.47,40,1.0195319148936168
850148,1 ROOM IN AMAZING ARTIST NYC LOFT,2843998,Julie,Brooklyn,Williamsburg,Private room,85,2,35,0.55,365,0.638235294117647
850338,Authentic Luxury Designed Loft,4440548,Thomas,Brooklyn,Williamsburg,Entire home/apt,145,3,166,2.15,151,3.6062068965517238
